Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Salary_Expectation,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Financial Advisor,Collaborative,Analytical,medium,low,high,low,medium,Finance/Accounting,5,low,low,high,low,low,Auditory,0,medium,Achieve success as a Financial Advisor.,rural,no,master,3.4,yes,no,medium,high,medium,0,shifts,hybrid,96487,yes,2,no,medium,medium,high,medium,low,Financial Advisor
Market Researcher,Independent,Strategic,medium,high,high,high,high,Other,4,medium,high,low,low,high,Reading/Writing,4,low,Achieve success as a Market Researcher.,flexible,yes,master,2.23,no,no,low,high,low,2,freelance,onsite,76486,yes,7,yes,medium,medium,low,low,high,Market Researcher
Radiologic Technologist,Independent,Strategic,high,high,medium,,medium,Computer Science/IT,2,high,low,medium,low,low,Visual,0,low,Achieve success as a Radiologic Technologist.,flexible,yes,bachelor,3.35,no,no,low,low,low,7,freelance,hybrid,65100,no,3,no,medium,medium,high,medium,medium,Radiologic Technologist
Product Manager,Collaborative,Creative,high,medium,low,low,medium,Other,4,low,low,medium,medium,high,Reading/Writing,5,high,Achieve success as a Product Manager.,urban,yes,PhD,3.15,no,yes,high,medium,high,0,9to5,remote,64686,yes,3,no,low,medium,medium,high,medium,Product Manager
Marketing Copywriter,Independent,Creative,medium,medium,low,high,low,Computer Science/IT,6,low,medium,medium,medium,low,Auditory,1,low,Achieve success as a Marketing Copywriter.,urban,no,diploma,3.44,yes,yes,low,medium,low,9,freelance,remote,98957,yes,10,no,high,high,medium,low,medium,Marketing Copywriter
Speech Therapist,Independent,Creative,medium,medium,medium,medium,medium,Health Sciences,3,low,high,high,high,high,Visual,2,low,Achieve success as a Speech Therapist.,flexible,no,master,3.49,yes,no,high,low,medium,0,9to5,remote,76051,yes,3,no,high,low,low,medium,medium,Speech Therapist
Biomedical Engineer,Independent,Strategic,low,medium,medium,high,medium,Engineering,9,low,low,low,medium,low,Reading/Writing,5,medium,Achieve success as a Biomedical Engineer.,urban,no,PhD,2.73,yes,no,medium,low,high,0,shifts,remote,63681,no,4,yes,high,low,high,medium,low,Biomedical Engineer
Pediatrician,Independent,Strategic,medium,high,low,low,low,Other,3,low,low,low,medium,low,Reading/Writing,1,medium,Achieve success as a Pediatrician.,urban,no,diploma,3.1,yes,yes,medium,medium,medium,1,freelance,hybrid,69128,no,5,no,medium,medium,high,low,medium,Pediatrician
Airline Pilot,Collaborative,Analytical,medium,high,low,low,high,Aviation,5,low,high,high,low,medium,Kinesthetic,5,medium,Achieve success as a Airline Pilot.,rural,no,PhD,2.85,yes,no,medium,high,medium,0,freelance,remote,92080,no,5,no,high,medium,high,medium,medium,Airline Pilot
Urban Planner,Collaborative,Analytical,low,high,medium,low,medium,Finance/Accounting,6,low,medium,high,medium,high,Auditory,0,low,Achieve success as a Urban Planner.,flexible,yes,diploma,3.04,yes,no,medium,medium,medium,5,shifts,onsite,95937,yes,1,yes,medium,medium,low,high,high,Urban Planner
Social Media Manager,Flexible,Creative,high,high,low,high,high,Other,4,low,medium,high,medium,high,Kinesthetic,1,medium,Achieve success as a Social Media Manager.,rural,yes,master,2.14,no,yes,high,medium,high,1,freelance,remote,66325,no,8,no,medium,low,high,low,low,Social Media Manager
Tax Collector,Independent,Analytical,high,medium,high,medium,high,Other,0,low,high,medium,medium,high,Auditory,3,medium,Achieve success as a Tax Collector.,rural,no,bachelor,2.36,no,no,medium,low,medium,5,shifts,hybrid,75186,yes,6,yes,medium,low,high,medium,high,Tax Collector
Mechanical Designer,Collaborative,Creative,low,medium,low,low,high,Engineering,6,high,low,low,high,medium,Auditory,3,medium,Achieve success as a Mechanical Designer.,urban,yes,PhD,2.91,no,no,medium,high,high,8,9to5,hybrid,64721,no,6,yes,low,low,low,high,medium,Mechanical Designer
Financial Auditor,Independent,Analytical,medium,low,medium,low,high,Computer Science/IT,7,medium,low,medium,low,high,Reading/Writing,2,high,Achieve success as a Financial Auditor.,urban,no,bachelor,3.77,yes,yes,low,high,low,6,shifts,hybrid,64623,no,7,yes,medium,high,low,low,medium,Financial Auditor
Forensic Scientist,Collaborative,Strategic,medium,medium,low,low,high,Science,0,high,low,low,low,medium,Auditory,4,low,Achieve success as a Forensic Scientist.,rural,yes,bachelor,2.67,no,no,medium,high,low,4,freelance,onsite,69282,yes,6,no,high,low,low,low,low,Forensic Scientist
Construction Engineer,Independent,Analytical,medium,low,medium,low,medium,Engineering,9,high,high,low,medium,low,Auditory,4,medium,Achieve success as a Construction Engineer.,urban,no,master,2.32,yes,no,medium,medium,medium,9,9to5,remote,83156,no,8,yes,medium,medium,high,high,high,Construction Engineer
Web Developer,Collaborative,Strategic,medium,medium,medium,high,high,Computer Science/IT,9,medium,high,low,high,high,Visual,0,medium,Achieve success as a Web Developer.,flexible,no,PhD,2.29,no,no,low,low,low,10,shifts,hybrid,88961,no,2,yes,high,medium,medium,high,high,Web Developer
Robotics Engineer,Independent,Creative,medium,high,low,low,low,Engineering,2,high,low,low,low,medium,Auditory,5,medium,Achieve success as a Robotics Engineer.,rural,yes,bachelor,2.05,no,no,low,low,high,1,shifts,onsite,86458,yes,2,no,medium,high,low,low,medium,Robotics Engineer
Financial Analyst,Collaborative,Strategic,low,medium,low,medium,medium,Finance/Accounting,9,high,medium,high,high,high,Auditory,5,high,Achieve success as a Financial Analyst.,urban,yes,bachelor,3.61,no,yes,high,medium,medium,2,freelance,hybrid,72693,no,4,no,high,low,medium,medium,medium,Financial Analyst
Chef,Independent,Strategic,low,medium,low,medium,low,Arts/Hospitality,1,medium,high,low,medium,high,Kinesthetic,5,medium,Achieve success as a Chef.,rural,no,diploma,2.59,yes,no,medium,high,medium,5,freelance,hybrid,92420,yes,0,no,medium,high,low,medium,low,Chef
Data Analyst,Independent,Strategic,high,high,low,high,medium,Finance/Accounting,0,high,low,medium,high,high,Kinesthetic,0,medium,Achieve success as a Data Analyst.,flexible,yes,PhD,3.71,yes,yes,medium,low,medium,8,9to5,onsite,61235,no,8,no,medium,high,high,medium,high,Data Analyst
Administrative Officer,Independent,Creative,low,high,high,low,high,Other,5,low,low,high,low,low,Kinesthetic,5,medium,Achieve success as a Administrative Officer.,urban,no,master,2.42,yes,no,high,medium,low,9,freelance,hybrid,92359,no,9,no,medium,high,medium,high,medium,Administrative Officer
HR Recruiter,Collaborative,Analytical,high,high,low,low,low,Computer Science/IT,1,medium,medium,low,low,high,Reading/Writing,4,high,Achieve success as a HR Recruiter.,flexible,no,master,2.83,yes,yes,low,high,high,9,shifts,remote,81341,no,2,yes,medium,high,low,low,high,HR Recruiter
Sports Coach,Independent,Strategic,high,low,medium,low,high,Other,5,high,high,low,high,low,Auditory,2,low,Achieve success as a Sports Coach.,urban,no,bachelor,2.11,yes,yes,medium,medium,high,10,9to5,onsite,72493,no,7,no,high,high,low,medium,medium,Sports Coach
Public Relations Specialist,Independent,Creative,high,high,low,high,high,Communications/Marketing,3,high,high,low,high,low,Auditory,0,high,Achieve success as a Public Relations Specialist.,urban,yes,bachelor,2.09,yes,no,medium,medium,medium,6,shifts,onsite,94744,no,0,no,low,low,low,medium,low,Public Relations Specialist
Wildlife Biologist,Collaborative,Strategic,high,medium,medium,high,medium,Science,8,low,medium,low,medium,high,Reading/Writing,3,low,Achieve success as a Wildlife Biologist.,flexible,no,master,2.03,yes,no,high,low,high,6,9to5,onsite,62705,no,3,no,medium,high,low,high,low,Wildlife Biologist
Pediatric Nurse,Collaborative,Strategic,high,low,low,low,medium,Health Sciences,8,low,low,low,high,high,Kinesthetic,5,medium,Achieve success as a Pediatric Nurse.,flexible,yes,PhD,2.66,yes,yes,medium,medium,medium,9,freelance,remote,96656,yes,1,no,low,low,medium,low,medium,Pediatric Nurse
Nurse,Independent,Creative,low,medium,high,medium,medium,Health Sciences,2,medium,high,high,high,low,Visual,4,high,Achieve success as a Nurse.,flexible,yes,diploma,2.8,no,yes,high,high,high,3,9to5,hybrid,82305,yes,3,yes,high,medium,medium,low,medium,Nurse
Journalist,Collaborative,Strategic,medium,medium,medium,medium,low,Communications/Marketing,6,low,medium,high,low,low,Auditory,0,low,Achieve success as a Journalist.,rural,no,bachelor,2.07,no,yes,low,low,high,2,shifts,remote,85363,no,1,yes,low,high,medium,medium,low,Journalist
Physician,Flexible,Strategic,medium,low,medium,medium,low,Health Sciences,2,high,medium,medium,high,low,Auditory,3,low,Achieve success as a Physician.,rural,no,diploma,2.29,yes,no,medium,low,medium,1,9to5,remote,62745,yes,3,yes,high,high,low,medium,high,Physician
Forestry Technician,Flexible,Analytical,medium,low,low,low,high,Other,3,low,medium,medium,medium,low,Visual,3,low,Achieve success as a Forestry Technician.,urban,no,bachelor,2.14,no,yes,medium,low,high,6,freelance,hybrid,89548,no,3,no,medium,high,high,medium,medium,Forestry Technician
Physical Therapist,Flexible,Strategic,high,high,low,medium,high,Health Sciences,10,high,low,low,low,low,Visual,2,low,Achieve success as a Physical Therapist.,flexible,no,diploma,3.58,no,no,medium,low,medium,0,9to5,onsite,87589,no,0,no,low,medium,high,high,medium,Physical Therapist
Urban Planner,Flexible,Strategic,low,high,medium,high,medium,Finance/Accounting,1,high,low,medium,low,low,Kinesthetic,2,medium,Achieve success as a Urban Planner.,flexible,no,master,3.26,yes,yes,low,medium,medium,8,freelance,hybrid,72740,yes,5,no,high,low,high,medium,high,Urban Planner
Environmental Scientist,Flexible,Strategic,medium,high,medium,high,low,Science,1,low,high,high,low,high,Reading/Writing,2,low,Achieve success as a Environmental Scientist.,flexible,no,master,3.06,yes,no,high,high,medium,6,freelance,remote,79995,no,9,yes,high,low,low,high,medium,Environmental Scientist
Pediatrician,Collaborative,Analytical,high,high,low,medium,high,Other,0,low,medium,medium,high,medium,Kinesthetic,2,low,Achieve success as a Pediatrician.,rural,no,master,3.51,yes,yes,high,medium,high,0,9to5,remote,74833,no,10,no,high,medium,low,high,high,Pediatrician
Elementary School Teacher,Independent,Analytical,high,high,medium,medium,high,Education/Social Sciences,0,medium,low,high,medium,low,Auditory,1,low,Achieve success as a Elementary School Teacher.,urban,yes,diploma,3.23,yes,yes,low,high,medium,0,shifts,hybrid,94571,yes,0,no,high,medium,medium,high,low,Elementary School Teacher
Lawyer,Independent,Creative,medium,high,low,low,low,Other,7,medium,medium,medium,high,high,Reading/Writing,4,medium,Achieve success as a Lawyer.,urban,yes,bachelor,3.75,yes,yes,high,medium,medium,4,9to5,onsite,73948,yes,5,yes,medium,high,low,medium,high,Lawyer
Sports Coach,Collaborative,Creative,medium,low,low,high,high,Other,4,medium,low,low,high,medium,Visual,2,high,Achieve success as a Sports Coach.,flexible,yes,PhD,2.67,yes,no,high,medium,high,5,9to5,onsite,67017,no,6,yes,low,medium,low,high,low,Sports Coach
Interior Designer,Flexible,Creative,medium,high,low,medium,low,Engineering,4,high,medium,medium,medium,medium,Visual,0,medium,Achieve success as a Interior Designer.,urban,yes,diploma,2.85,yes,no,medium,high,low,4,shifts,hybrid,81088,yes,7,no,low,medium,medium,low,medium,Interior Designer
Geologist,Independent,Creative,medium,low,medium,medium,high,Science,5,medium,low,high,high,high,Auditory,0,low,Achieve success as a Geologist.,urban,yes,master,2.66,yes,no,low,medium,low,9,shifts,remote,69847,yes,10,yes,medium,high,medium,high,medium,Geologist
Marriage Counselor,Independent,Strategic,low,medium,low,low,high,Education/Social Sciences,2,low,high,low,low,high,Visual,2,medium,Achieve success as a Marriage Counselor.,urban,yes,PhD,2.69,no,yes,medium,medium,medium,0,9to5,hybrid,78134,no,5,no,low,medium,low,high,medium,Marriage Counselor
Financial Analyst,Flexible,Analytical,high,high,low,low,low,Finance/Accounting,6,low,high,medium,medium,high,Reading/Writing,0,medium,Achieve success as a Financial Analyst.,rural,yes,diploma,2.19,yes,yes,low,medium,high,5,9to5,hybrid,61821,yes,1,no,medium,medium,medium,low,medium,Financial Analyst
Film Director,Flexible,Creative,medium,low,medium,medium,high,Arts/Hospitality,4,low,low,low,low,medium,Reading/Writing,5,high,Achieve success as a Film Director.,urban,yes,diploma,3.34,yes,yes,high,high,high,4,9to5,onsite,66692,yes,5,yes,low,high,medium,medium,high,Film Director
Wildlife Conservationist,Independent,Analytical,medium,low,medium,high,medium,Other,5,high,low,low,medium,high,Reading/Writing,0,high,Achieve success as a Wildlife Conservationist.,urban,yes,bachelor,2.73,no,yes,low,high,high,10,freelance,hybrid,62890,no,0,yes,high,medium,low,medium,medium,Wildlife Conservationist
Investment Banker,Independent,Creative,high,medium,high,high,medium,Finance/Accounting,1,high,medium,high,medium,high,Visual,2,low,Achieve success as a Investment Banker.,flexible,yes,PhD,3.07,no,yes,medium,medium,high,8,9to5,hybrid,97001,no,2,no,medium,low,medium,low,medium,Investment Banker
Administrative Officer,Collaborative,Analytical,medium,high,high,medium,low,Other,0,medium,high,low,low,medium,Auditory,3,high,Achieve success as a Administrative Officer.,urban,yes,master,2.04,yes,no,high,high,high,3,freelance,onsite,63157,yes,7,no,medium,low,medium,high,low,Administrative Officer
Chiropractor,Flexible,Creative,low,medium,medium,medium,medium,Health Sciences,5,high,high,medium,low,low,Visual,2,low,Achieve success as a Chiropractor.,rural,no,bachelor,2.32,no,no,medium,low,low,10,shifts,onsite,83788,yes,8,no,low,medium,high,low,medium,Chiropractor
Mechanical Designer,Flexible,Strategic,medium,high,low,low,low,Engineering,10,low,medium,low,low,high,Visual,4,low,Achieve success as a Mechanical Designer.,urban,yes,PhD,3.54,yes,yes,medium,medium,medium,6,9to5,hybrid,76147,yes,2,yes,low,low,medium,high,medium,Mechanical Designer
Salesperson,Independent,Analytical,high,low,high,medium,high,Other,2,medium,high,medium,high,low,Reading/Writing,4,low,Achieve success as a Salesperson.,urban,no,PhD,3.47,no,yes,high,medium,low,0,freelance,remote,90743,no,4,yes,high,medium,high,high,low,Salesperson
Radiologic Technologist,Independent,Strategic,medium,high,low,high,high,Computer Science/IT,3,high,medium,high,high,high,Auditory,1,high,Achieve success as a Radiologic Technologist.,rural,no,diploma,3.6,yes,yes,low,high,high,5,freelance,hybrid,63174,yes,3,yes,high,medium,low,low,low,Radiologic Technologist
Civil Engineer,Collaborative,Creative,high,low,low,high,medium,Engineering,9,high,high,high,high,low,Visual,0,high,Achieve success as a Civil Engineer.,urban,no,master,2.34,no,no,low,low,low,1,freelance,hybrid,99278,yes,9,yes,high,medium,medium,low,low,Civil Engineer
Market Research Analyst,Flexible,Analytical,medium,low,low,high,high,Finance/Accounting,0,high,low,medium,medium,high,Auditory,1,low,Achieve success as a Market Research Analyst.,rural,no,bachelor,3.39,no,yes,low,low,low,4,9to5,onsite,91245,yes,3,no,medium,medium,high,low,medium,Market Research Analyst
Technical Writer,Independent,Strategic,medium,medium,low,medium,high,Computer Science/IT,1,low,medium,low,low,high,Auditory,0,high,Achieve success as a Technical Writer.,flexible,yes,master,2.52,yes,yes,high,high,high,0,shifts,remote,93270,yes,9,yes,medium,low,low,high,medium,Technical Writer
Electrical Engineer,Independent,Analytical,low,low,low,high,medium,Engineering,2,medium,medium,high,low,low,Kinesthetic,5,high,Achieve success as a Electrical Engineer.,urban,no,bachelor,3.83,no,no,low,medium,low,1,9to5,hybrid,62756,yes,0,no,high,high,medium,high,high,Electrical Engineer
Human Rights Lawyer,Flexible,Analytical,low,high,low,medium,high,Other,0,medium,medium,low,low,medium,Reading/Writing,4,medium,Achieve success as a Human Rights Lawyer.,rural,yes,PhD,3.24,yes,no,high,low,low,8,shifts,remote,75801,yes,3,yes,high,low,medium,low,high,Human Rights Lawyer
Forestry Technician,Independent,Analytical,medium,high,high,medium,high,Other,10,high,low,medium,low,low,Visual,2,low,Achieve success as a Forestry Technician.,urban,no,diploma,3.78,yes,yes,medium,high,high,0,shifts,hybrid,95167,no,3,yes,low,high,low,low,low,Forestry Technician
Elementary School Teacher,Flexible,Strategic,medium,medium,medium,high,medium,Education/Social Sciences,4,high,medium,medium,low,high,Auditory,3,high,Achieve success as a Elementary School Teacher.,urban,yes,PhD,3.62,yes,no,low,high,medium,10,shifts,onsite,94530,yes,1,yes,high,medium,low,high,high,Elementary School Teacher
Foreign Service Officer,Flexible,Strategic,low,medium,high,high,low,Other,10,medium,medium,low,low,medium,Kinesthetic,5,medium,Achieve success as a Foreign Service Officer.,urban,yes,master,3.53,yes,yes,low,low,medium,5,shifts,remote,71741,no,7,no,low,high,medium,medium,high,Foreign Service Officer
Database Analyst,Collaborative,Analytical,high,low,high,low,low,Computer Science/IT,2,high,medium,high,medium,high,Auditory,3,high,Achieve success as a Database Analyst.,flexible,no,master,3.46,no,no,medium,high,high,7,9to5,remote,81270,no,2,no,low,high,high,high,high,Database Analyst
